Stations,Long,Latt,Weight in Mins,Edge 1,Edge 1 Name,Weight in Mins,Edge 2,Edge 2 Name,Weight in Mins,Edge 3,Edge 3 Name,Weight in Mins,Edge 4,Edge 4 Name
PUNGGOL MRT STATION[NE17],1.4052585,103.9023302,3,SOO TECK LRT STATION[PW7],WEST LOOP (CLOCKWISE),2,SAM KEE LRT STATION[PW1],WEST LOOP (ANTI CLOCKWISE),2,DAMAI LRT STATION[PE7],EAST LOOP (CLOCKWISE),3,COVE LRT STATION[PE1],EAST LOOP (ANTI CLOCKWISE)
SOO TECK LRT STATION[PW7],1.4053014,103.8972748,1,SUMANG LRT STATION[PW6],WEST LOOP (CLOCKWISE),3,PUNGGOL MRT STATION[NE17],WEST LOOP (ANTI CLOCKWISE),,,,,,
SUMANG LRT STATION[PW6],1.4085322,103.8985342,1,NIBONG LRT STATION[PW5],WEST LOOP (CLOCKWISE),1,SOO TECK LRT STATION[PW7],WEST LOOP (ANTI CLOCKWISE),,,,,,
NIBONG LRT STATION[PW5],1.4118877,103.9003304,1,SAMUDERA LRT STATION[PW4],WEST LOOP (CLOCKWISE),1,SUMANG LRT STATION[PW6],WEST LOOP (ANTI CLOCKWISE),,,,,,
SAMUDERA LRT STATION[PW4],1.4159537,103.9021398,1,PUNGGOL POINT LRT STATION[PW3],WEST LOOP (CLOCKWISE),1,NIBONG LRT STATION[PW5],WEST LOOP (ANTI CLOCKWISE),,,,,,
PUNGGOL POINT LRT STATION[PW3],1.4168814,103.9066298,2,SAM KEE LRT STATION[PW1],WEST LOOP (CLOCKWISE),1,SAMUDERA LRT STATION[PW4],WEST LOOP (ANTI CLOCKWISE),,,,,,
SAM KEE LRT STATION[PW1],1.4097076,103.904874,2,PUNGGOL MRT STATION[NE17],WEST LOOP (CLOCKWISE),2,PUNGGOL POINT LRT STATION[PW3],WEST LOOP (ANTI CLOCKWISE),,,,,,
DAMAI LRT STATION[PE7],1.4052523,103.9085982,1,OASIS LRT STATION[PE6],EAST LOOP (CLOCKWISE),2,PUNGGOL MRT STATION[NE17],EAST LOOP (ANTI CLOCKWISE),,,,,,
OASIS LRT STATION[PE6],1.4022823,103.9127329,1,KADALOOR LRT STATION[PE5],EAST LOOP (CLOCKWISE),1,DAMAI LRT STATION[PE7],EAST LOOP (ANTI CLOCKWISE),,,,,,
KADALOOR LRT STATION[PE5],1.399601,103.9164448,1,RIVIERA LRT STATION[PE4],EAST LOOP (CLOCKWISE),1,OASIS LRT STATION[PE6],EAST LOOP (ANTI CLOCKWISE),,,,,,
RIVIERA LRT STATION[PE4],1.394538,103.9161538,1,CORAL EDGE LRT STATION[PE3],EAST LOOP (CLOCKWISE),1,KADALOOR LRT STATION[PE5],EAST LOOP (ANTI CLOCKWISE),,,,,,
CORAL EDGE LRT STATION[PE3],1.3939318,103.9125723,1,MERIDIAN LRT STATION[PE2],EAST LOOP (CLOCKWISE),1,RIVIERA LRT STATION[PE4],EAST LOOP (ANTI CLOCKWISE),,,,,,
MERIDIAN LRT STATION[PE2],1.3969357,103.9088889,1,COVE LRT STATION[PE1],EAST LOOP (CLOCKWISE),1,CORAL EDGE LRT STATION[PE3],EAST LOOP (ANTI CLOCKWISE),,,,,,
COVE LRT STATION[PE1],1.3994603,103.9058059,3,PUNGGOL MRT STATION[NE17],EAST LOOP (CLOCKWISE),1,MERIDIAN LRT STATION[PE2],EAST LOOP (ANTI CLOCKWISE),,,,,,
